description;dataset;model;set;error_race_only_error;error_gender_only_error;error_both_error;error_intersection_only_error;not_race_only_error;not_gender_only_error;not_both_error;not_no_error
intersectionality;ledgar;bert-base-uncased;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;bert-base-uncased;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;bert-base-uncased;train;0;0;0;0;0;0;0;7043
intersectionality;ledgar;microsoft/deberta-base;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;microsoft/deberta-base;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;microsoft/deberta-base;train;0;0;0;0;0;0;0;7043
intersectionality;ledgar;roberta-base;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;roberta-base;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;roberta-base;train;11;0;0;0;13;0;0;7019
intersectionality;ledgar;nlpaueb/legal-bert-base-uncased;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;nlpaueb/legal-bert-base-uncased;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;nlpaueb/legal-bert-base-uncased;train;0;0;0;0;0;0;0;7043
total_ledgar;ledgar;;;11;0;0;0;13;0;0;33136

intersectionality;scotus;bert-base-uncased;test;6416;3071;5214;397;559;233;218;57727
intersectionality;scotus;bert-base-uncased;validation;4992;131;201;458;532;123;3;38290
intersectionality;scotus;bert-base-uncased;train;3344;113;0;505;167;107;0;261843
intersectionality;scotus;microsoft/deberta-base;test;9250;296;1361;1033;304;154;0;56829
intersectionality;scotus;microsoft/deberta-base;validation;833;70;18;391;281;203;0;42418
intersectionality;scotus;microsoft/deberta-base;train;15970;231;408;511;221;108;2;223578
intersectionality;scotus;roberta-base;test;6835;2;6;181;113;4;0;62086
intersectionality;scotus;roberta-base;validation;5324;15;650;39;96;3;0;38087
intersectionality;scotus;roberta-base;train;8316;2486;412;1508;412;331;3;227561
intersectionality;scotus;nlpaueb/legal-bert-base-uncased;test;631;48;85;83;37;9;2;72670
intersectionality;scotus;nlpaueb/legal-bert-base-uncased;validation;2624;0;1;94;16;2;1;45085
intersectionality;scotus;nlpaueb/legal-bert-base-uncased;train;3411;22;1;185;57;0;0;264033
total_scotus;scotus;;;67946;6485;8357;5385;2795;1277;229;1390207

intersectionality;ecthr_a;bert-base-uncased;test;16951;4423;3784;2232;1614;2805;20;144719
intersectionality;ecthr_a;bert-base-uncased;validation;9244;1562;1555;1252;786;1277;47;113112
intersectionality;ecthr_a;bert-base-uncased;train;26727;7628;5534;5920;3199;5308;116;1201703
intersectionality;ecthr_a;microsoft/deberta-base;test;6896;806;965;942;868;742;36;153491
intersectionality;ecthr_a;microsoft/deberta-base;validation;3246;2367;2462;567;1070;982;30;110345
intersectionality;ecthr_a;microsoft/deberta-base;train;39819;8258;11915;7988;6295;6697;223;1101376
intersectionality;ecthr_a;roberta-base;test;9093;1672;2161;1023;1125;512;137;149023
intersectionality;ecthr_a;roberta-base;validation;6124;753;1651;845;1248;1460;48;108940
intersectionality;ecthr_a;roberta-base;train;28675;9177;4997;6335;6589;5100;162;1121536
intersectionality;ecthr_a;nlpaueb/legal-bert-base-uncased;test;10661;1841;1194;2179;1160;965;99;156791
intersectionality;ecthr_a;nlpaueb/legal-bert-base-uncased;validation;9283;1922;1287;1474;1428;1337;271;111943
intersectionality;ecthr_a;nlpaueb/legal-bert-base-uncased;train;32056;5775;5588;6120;4451;5039;402;1208686
total_ecthr_a;ecthr_a;;;198775;46184;43093;36877;29833;32224;1591;5681665

intersectionality;ecthr_b;bert-base-uncased;test;19188;4668;5660;2327;2010;2962;67;139666
intersectionality;ecthr_b;bert-base-uncased;validation;12974;3434;3401;1576;1678;1985;56;103731
intersectionality;ecthr_b;bert-base-uncased;train;31217;7957;4245;5253;4251;3728;141;1199343
intersectionality;ecthr_b;microsoft/deberta-base;test;8172;2927;1611;2210;2786;1757;84;145199
intersectionality;ecthr_b;microsoft/deberta-base;validation;5819;1132;751;1373;1348;816;7;109823
intersectionality;ecthr_b;microsoft/deberta-base;train;26124;10370;6612;7878;6040;8595;437;1116515
intersectionality;ecthr_b;roberta-base;test;7538;5064;1643;1745;1028;1136;67;146525
intersectionality;ecthr_b;roberta-base;validation;6317;1994;900;1000;804;777;49;109228
intersectionality;ecthr_b;roberta-base;train;51956;14273;8981;8788;7805;7404;158;1083206
intersectionality;ecthr_b;nlpaueb/legal-bert-base-uncased;test;10565;1258;2669;1681;1856;1154;139;155568
intersectionality;ecthr_b;nlpaueb/legal-bert-base-uncased;validation;6135;1177;1104;951;584;668;30;118296
intersectionality;ecthr_b;nlpaueb/legal-bert-base-uncased;train;40756;8952;7756;7670;6017;6345;398;1190223
total_ecthr_b;ecthr_b;;;226761;63206;45333;42452;36207;37327;1633;5617323

intersectionality;eurlex;bert-base-uncased;test;8493;698;670;1080;756;410;10;53184
intersectionality;eurlex;bert-base-uncased;validation;5901;374;627;597;690;560;72;56743
intersectionality;eurlex;bert-base-uncased;train;50834;13506;14282;8587;8014;7719;513;502059
intersectionality;eurlex;microsoft/deberta-base;test;15724;490;1058;1105;858;490;27;38621
intersectionality;eurlex;microsoft/deberta-base;validation;16945;539;1153;995;754;195;23;39190
intersectionality;eurlex;microsoft/deberta-base;train;101001;9718;16504;8518;11543;10807;560;414908
intersectionality;eurlex;roberta-base;test;11327;718;1528;596;609;648;30;42917
intersectionality;eurlex;roberta-base;validation;9571;334;659;747;645;266;16;47556
intersectionality;eurlex;roberta-base;train;81347;10612;14374;9851;7583;5559;367;443866
intersectionality;eurlex;nlpaueb/legal-bert-base-uncased;test;8110;77;431;423;398;155;29;56161
intersectionality;eurlex;nlpaueb/legal-bert-base-uncased;validation;10821;264;1093;875;471;377;4;51629
intersectionality;eurlex;nlpaueb/legal-bert-base-uncased;train;72330;8689;10058;6484;5413;5604;221;501235
total_eurlex;eurlex;;;392404;46019;62437;39858;37734;32790;1872;2248069
